АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
12, rue des Bouchers;Марсель;14.11.97 08:00;03.12.97 08:00;05.11.97 08:00;1;13008;10730;BONAP;5;Bon app';;20,12;Франция
Hauptstr. 31;Берн;14.11.97 08:00;04.12.97 08:00;06.11.97 08:00;1;3012;10731;CHOPS;7;Chop-suey Chinese;;96,65;Швейцария
12, rue des Bouchers;Марсель;07.11.97 08:00;04.12.97 08:00;06.11.97 08:00;1;13008;10732;BONAP;3;Bon app';;16,97;Франция
Berguvsvagen  8;Лулео;10.11.97 08:00;05.12.97 08:00;07.11.97 08:00;3;S-958 22;10733;BERGS;1;Berglunds snabbkop;;110,11;Швеция
Av. Brasil, 442;Кампинас;12.11.97 08:00;05.12.97 08:00;07.11.97 08:00;3;04876-786;10734;GOURL;2;Gourmet Lanchonetes;SP;1,63;Бразилия
"87 Polk St.
Suite 5";Сан-Франциско;21.11.97 08:00;08.12.97 08:00;10.11.97 08:00;2;94117;10735;LETSS;6;Let's Stop N Shop;CA;45,97;США
8 Johnstown Road;Корк;21.11.97 08:00;09.12.97 08:00;11.11.97 08:00;2;;10736;HUNGO;9;Hungry Owl All-Night Grocers;Co. Cork;44,1;Ирландия
59 rue de l'Abbaye;Реймс;18.11.97 08:00;09.12.97 08:00;11.11.97 08:00;2;51100;10737;VINET;2;Vins et alcools Chevalier;;7,79;Франция
25, rue Lauriston;Париж;18.11.97 08:00;10.12.97 08:00;12.11.97 08:00;1;75016;10738;SPECD;2;Specialites du monde;;2,91;Франция
59 rue de l'Abbaye;Реймс;17.11.97 08:00;10.12.97 08:00;12.11.97 08:00;3;51100;10739;VINET;3;Vins et alcools Chevalier;;11,08;Франция
1029 - 12th Ave. S.;Сиэтл;25.11.97 08:00;11.12.97 08:00;13.11.97 08:00;2;98124;10740;WHITC;4;White Clover Markets;WA;81,88;США
"Brook Farm
Stratford St. Mary";Колчестер;18.11.97 08:00;28.11.97 08:00;14.11.97 08:00;3;CO7 6JX;10741;AROUT;4;Around the Horn;Essex;10,96;Великобритания
23 Tsawassen Blvd.;Тсавассен;18.11.97 08:00;12.12.97 08:00;14.11.97 08:00;3;T2F 8M4;10742;BOTTM;3;Bottom-Dollar Markets;BC;243,73;Канада
"Brook Farm
Stratford St. Mary";Колчестер;21.11.97 08:00;15.12.97 08:00;17.11.97 08:00;2;CO7 6JX;10743;AROUT;1;Around the Horn;Essex;23,72;Великобритания
Smagsloget 45;Орхус;24.11.97 08:00;15.12.97 08:00;17.11.97 08:00;1;8200;10744;VAFFE;6;Vaffeljernet;;69,19;Дания
Taucherstrasse 10;Кюневальд;27.11.97 08:00;16.12.97 08:00;18.11.97 08:00;1;01307;10745;QUICK;9;QUICK-Stop;;3,52;Германия
Hauptstr. 31;Берн;21.11.97 08:00;17.12.97 08:00;19.11.97 08:00;3;3012;10746;CHOPS;1;Chop-suey Chinese;;31,43;Швейцария
Geislweg 14;Зальцбург;26.11.97 08:00;17.12.97 08:00;19.11.97 08:00;1;5020;10747;PICCO;6;Piccolo und mehr;;117,33;Австрия
187 Suffolk Ln.;Буа;28.11.97 08:00;18.12.97 08:00;20.11.97 08:00;1;83720;10748;SAVEA;3;Save-a-lot Markets;ID;232,55;США
"Garden House
Crowther Way";Cowes;19.12.97 08:00;18.12.97 08:00;20.11.97 08:00;2;PO31 7PJ;10749;ISLAT;4;Island Trading;Isle of White;61,53;Великобритания
Torikatu 38;Оулу;24.11.97 08:00;19.12.97 08:00;21.11.97 08:00;1;90110;10750;WARTH;9;Wartian Herkku;;79,3;Финляндия
Starenweg 5;Женева;03.12.97 08:00;22.12.97 08:00;24.11.97 08:00;3;1204;10751;RICSU;3;Richter Supermarkt;;130,79;Швейцария
"South House
300 Queensbridge";Лондон;28.11.97 08:00;22.12.97 08:00;24.11.97 08:00;3;SW7 1RZ;10752;NORTS;2;North/South;;1,39;Великобритания
Via Monte Bianco 34;Турин;27.11.97 08:00;23.12.97 08:00;25.11.97 08:00;1;10100;10753;FRANS;3;Franchi S.p.A.;;7,7;Италия
Via Ludovico il Moro 22;Бергамо;27.11.97 08:00;23.12.97 08:00;25.11.97 08:00;3;24100;10754;MAGAA;6;Magazzini Alimentari Riuniti;;2,38;Италия
12, rue des Bouchers;Марсель;28.11.97 08:00;24.12.97 08:00;26.11.97 08:00;2;13008;10755;BONAP;4;Bon app';;16,71;Франция
P.O. Box 555;Лендер;02.12.97 08:00;25.12.97 08:00;27.11.97 08:00;2;82520;10756;SPLIR;8;Split Rail Beer & Ale;WY;73,21;США
187 Suffolk Ln.;Буа;15.12.97 08:00;25.12.97 08:00;27.11.97 08:00;1;83720;10757;SAVEA;6;Save-a-lot Markets;ID;8,19;США
Starenweg 5;Женева;04.12.97 08:00;26.12.97 08:00;28.11.97 08:00;3;1204;10758;RICSU;3;Richter Supermarkt;;138,17;Швейцария
Avda. de la Constitucion 2222;Мехико;12.12.97 08:00;26.12.97 08:00;28.11.97 08:00;3;05021;10759;ANATR;3;Ana Trujillo Emparedados y helados;;11,99;Мексика
Rue Joseph-Bens 532;Брюссель;10.12.97 08:00;29.12.97 08:00;01.12.97 08:00;1;B-1180;10760;MAISD;4;Maison Dewey;;155,64;Бельгия
2817 Milton Dr.;Альбукерке;08.12.97 08:00;30.12.97 08:00;02.12.97 08:00;2;87110;10761;RATTC;5;Rattlesnake Canyon Grocery;NM;18,66;США
Lkergatan 24;Брекке;09.12.97 08:00;30.12.97 08:00;02.12.97 08:00;1;S-844 67;10762;FOLKO;3;Folk och fa HB;;328,74;Швеция
184, chaussee de Tournai;Лилль;08.12.97 08:00;31.12.97 08:00;03.12.97 08:00;3;59000;10763;FOLIG;3;Folies gourmandes;;37,35;Франция
Kirchgasse 6;Грасс;08.12.97 08:00;31.12.97 08:00;03.12.97 08:00;3;8010;10764;ERNSH;6;Ernst Handel;;145,45;Австрия
Taucherstrasse 10;Кюневальд;09.12.97 08:00;01.01.98 08:00;04.12.97 08:00;3;01307;10765;QUICK;3;QUICK-Stop;;42,74;Германия
Mehrheimerstr. 369;Кельн;09.12.97 08:00;02.01.98 08:00;05.12.97 08:00;1;50739;10766;OTTIK;4;Ottilies Kaseladen;;157,55;Германия
Boulevard Tirou, 255;Шарлеруа;15.12.97 08:00;02.01.98 08:00;05.12.97 08:00;3;B-6000;10767;SUPRD;4;Supremes delices;;1,59;Бельгия
"Brook Farm
Stratford St. Mary";Колчестер;15.12.97 08:00;05.01.98 08:00;08.12.97 08:00;2;CO7 6JX;10768;AROUT;3;Around the Horn;Essex;146,32;Великобритания
Smagsloget 45;Орхус;12.12.97 08:00;05.01.98 08:00;08.12.97 08:00;1;8200;10769;VAFFE;3;Vaffeljernet;;65,06;Дания
Rua do Paco, 67;Рио-де-Жанейро;17.12.97 08:00;06.01.98 08:00;09.12.97 08:00;3;05454-876;10770;HANAR;8;Hanari Carnes;RJ;5,32;Бразилия
Kirchgasse 6;Грасс;02.01.98 08:00;07.01.98 08:00;10.12.97 08:00;2;8010;10771;ERNSH;9;Ernst Handel;;11,19;Австрия
Magazinweg 7;Франкфурт;19.12.97 08:00;07.01.98 08:00;10.12.97 08:00;2;60528;10772;LEHMS;3;Lehmanns Marktstand;;91,28;Германия
Kirchgasse 6;Грасс;16.12.97 08:00;08.01.98 08:00;11.12.97 08:00;3;8010;10773;ERNSH;1;Ernst Handel;;96,43;Австрия
Lkergatan 24;Брекке;12.12.97 08:00;25.12.97 08:00;11.12.97 08:00;1;S-844 67;10774;FOLKO;4;Folk och fa HB;;48,2;Швеция
55 Grizzly Peak Rd.;Бут;26.12.97 08:00;09.01.98 08:00;12.12.97 08:00;1;59801;10775;THECR;7;The Cracker Box;MT;20,25;США
Kirchgasse 6;Грасс;18.12.97 08:00;12.01.98 08:00;15.12.97 08:00;3;8010;10776;ERNSH;1;Ernst Handel;;351,53;Австрия
Av. Brasil, 442;Кампинас;21.01.98 08:00;29.12.97 08:00;15.12.97 08:00;2;04876-786;10777;GOURL;7;Gourmet Lanchonetes;SP;3,01;Бразилия
Berguvsvagen  8;Лулео;24.12.97 08:00;13.01.98 08:00;16.12.97 08:00;1;S-958 22;10778;BERGS;3;Berglunds snabbkop;;6,79;Швеция
Heerstr. 22;Лейпциг;14.01.98 08:00;13.01.98 08:00;16.12.97 08:00;2;04179;10779;MORGK;3;Morgenstern Gesundkost;;58,13;Германия
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;25.12.97 08:00;30.12.97 08:00;16.12.97 08:00;1;3508;10780;LILAS;2;LILA-Supermercado;Lara;42,13;Венесуэлла
Torikatu 38;Оулу;19.12.97 08:00;14.01.98 08:00;17.12.97 08:00;3;90110;10781;WARTH;2;Wartian Herkku;;73,16;Финляндия
Cerrito 333;Буэнос-Айрес;22.12.97 08:00;14.01.98 08:00;17.12.97 08:00;3;1010;10782;CACTU;9;Cactus Comidas para llevar;;1,1;Аргентина
Rua do Paco, 67;Рио-де-Жанейро;19.12.97 08:00;15.01.98 08:00;18.12.97 08:00;2;05454-876;10783;HANAR;4;Hanari Carnes;RJ;124,98;Бразилия
Via Ludovico il Moro 22;Бергамо;22.12.97 08:00;15.01.98 08:00;18.12.97 08:00;3;24100;10784;MAGAA;4;Magazzini Alimentari Riuniti;;70,09;Италия
5S Ave. Los Palos Grandes;Каракас;24.12.97 08:00;15.01.98 08:00;18.12.97 08:00;3;1081;10785;GROSR;1;GROSELLA-Restaurante;DF;1,51;Венесуэлла
Alameda dos Canarios, 891;Сан-Пауло;23.12.97 08:00;16.01.98 08:00;19.12.97 08:00;1;05487-020;10786;QUEEN;8;Queen Cozinha;SP;110,87;Бразилия
1 rue Alsace-Lorraine;Тулуза;26.12.97 08:00;02.01.98 08:00;19.12.97 08:00;1;31000;10787;LAMAI;2;La maison d'Asie;;249,93;Франция
Taucherstrasse 10;Кюневальд;19.01.98 08:00;19.01.98 08:00;22.12.97 08:00;2;01307;10788;QUICK;1;QUICK-Stop;;42,7;Германия
184, chaussee de Tournai;Лилль;31.12.97 08:00;19.01.98 08:00;22.12.97 08:00;2;59000;10789;FOLIG;1;Folies gourmandes;;100,6;Франция
Av. Brasil, 442;Кампинас;26.12.97 08:00;19.01.98 08:00;22.12.97 08:00;1;04876-786;10790;GOURL;6;Gourmet Lanchonetes;SP;28,23;Бразилия
Berliner Platz 43;Мюнхен;01.01.98 08:00;20.01.98 08:00;23.12.97 08:00;2;80805;10791;FRANK;6;Frankenversand;;16,85;Германия
ul. Filtrowa 68;Варшава;31.12.97 08:00;20.01.98 08:00;23.12.97 08:00;3;01-012;10792;WOLZA;1;Wolski Zajazd;;23,79;Польша
"Brook Farm
Stratford St. Mary";Колчестер;08.01.98 08:00;21.01.98 08:00;24.12.97 08:00;3;CO7 6JX;10793;AROUT;3;Around the Horn;Essex;4,52;Великобритания
Rua da Panificadora, 12;Рио-де-Жанейро;02.01.98 08:00;21.01.98 08:00;24.12.97 08:00;1;02389-673;10794;QUEDE;6;Que Delicia;RJ;21,49;Бразилия
Kirchgasse 6;Грасс;20.01.98 08:00;21.01.98 08:00;24.12.97 08:00;2;8010;10795;ERNSH;8;Ernst Handel;;126,66;Австрия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;14.01.98 08:00;22.01.98 08:00;25.12.97 08:00;1;5022;10796;HILAA;3;HILARION-Abastos;Tochira;26,52;Венесуэлла
Walserweg 21;Ахен;05.01.98 08:00;22.01.98 08:00;25.12.97 08:00;2;52066;10797;DRACD;7;Drachenblut Delikatessen;;33,35;Германия
"Garden House
Crowther Way";Cowes;05.01.98 08:00;23.01.98 08:00;26.12.97 08:00;1;PO31 7PJ;10798;ISLAT;2;Island Trading;Isle of White;2,33;Великобритания
Maubelstr. 90;Бранденбург;05.01.98 08:00;06.02.98 08:00;26.12.97 08:00;3;14776;10799;KOENE;9;Koniglich Essen;;30,76;Германия
90 Wadhurst Rd.;Лондон;05.01.98 08:00;23.01.98 08:00;26.12.97 08:00;3;OX15 4NB;10800;SEVES;1;Seven Seas Imports;;137,44;Великобритания
C/ Araquil, 67;Мадрид;31.12.97 08:00;26.01.98 08:00;29.12.97 08:00;2;28023;10801;BOLID;4;Bolido Comidas preparadas;;97,09;Испания
Vinbaeltet 34;Копенгаген;02.01.98 08:00;26.01.98 08:00;29.12.97 08:00;2;1734;10802;SIMOB;4;Simons bistro;;257,26;Дания
Rua do Mercado, 12;Ресенде;06.01.98 08:00;27.01.98 08:00;30.12.97 08:00;1;08737-363;10803;WELLI;4;Wellington Importadora;SP;55,23;Бразилия
90 Wadhurst Rd.;Лондон;07.01.98 08:00;27.01.98 08:00;30.12.97 08:00;2;OX15 4NB;10804;SEVES;6;Seven Seas Imports;;27,33;Великобритания
"89 Jefferson Way
Suite 2";Портленд;09.01.98 08:00;27.01.98 08:00;30.12.97 08:00;3;97201;10805;THEBI;2;The Big Cheese;OR;237,34;США
2, rue du Commerce;Лион;05.01.98 08:00;28.01.98 08:00;31.12.97 08:00;2;69004;10806;VICTE;3;Victuailles en stock;;22,11;Франция
Via Monte Bianco 34;Турин;30.01.98 08:00;28.01.98 08:00;31.12.97 08:00;1;10100;10807;FRANS;4;Franchi S.p.A.;;1,36;Италия
2743 Bering St.;Анкоридж;09.01.98 08:00;29.01.98 08:00;01.01.98 08:00;3;99508;10808;OLDWO;2;Old World Delicatessen;AK;45,53;США
Rua do Mercado, 12;Ресенде;07.01.98 08:00;29.01.98 08:00;01.01.98 08:00;1;08737-363;10809;WELLI;7;Wellington Importadora;SP;4,87;Бразилия
2319 Elm St.;Ванкувер;07.01.98 08:00;29.01.98 08:00;01.01.98 08:00;3;V3F 2K1;10810;LAUGB;2;Laughing Bacchus Wine Cellars;BC;4,33;Канада
Ave. 5 de Mayo Porlamar;О-в Маргариты;08.01.98 08:00;30.01.98 08:00;02.01.98 08:00;1;4980;10811;LINOD;8;LINO-Delicateses;Nueva Esparta;31,22;Венесуэлла
Strada Provinciale 124;Реджио-Эмилио;12.01.98 08:00;30.01.98 08:00;02.01.98 08:00;1;42100;10812;REGGC;5;Reggiani Caseifici;;59,78;Италия
Av. Copacabana, 267;Рио-де-Жанейро;09.01.98 08:00;02.02.98 08:00;05.01.98 08:00;1;02389-890;10813;RICAR;1;Ricardo Adocicados;RJ;47,38;Бразилия
2, rue du Commerce;Лион;14.01.98 08:00;02.02.98 08:00;05.01.98 08:00;3;69004;10814;VICTE;3;Victuailles en stock;;130,94;Франция
187 Suffolk Ln.;Буа;14.01.98 08:00;02.02.98 08:00;05.01.98 08:00;3;83720;10815;SAVEA;2;Save-a-lot Markets;ID;14,62;США
2732 Baker Blvd.;Юджин;04.02.98 08:00;03.02.98 08:00;06.01.98 08:00;2;97403;10816;GREAL;4;Great Lakes Food Market;OR;719,78;США
Maubelstr. 90;Бранденбург;13.01.98 08:00;20.01.98 08:00;06.01.98 08:00;2;14776;10817;KOENE;3;Koniglich Essen;;306,07;Германия
Via Ludovico il Moro 22;Бергамо;12.01.98 08:00;04.02.98 08:00;07.01.98 08:00;3;24100;10818;MAGAA;7;Magazzini Alimentari Riuniti;;65,48;Италия
Cerrito 333;Буэнос-Айрес;16.01.98 08:00;04.02.98 08:00;07.01.98 08:00;3;1010;10819;CACTU;2;Cactus Comidas para llevar;;19,76;Аргентина
2817 Milton Dr.;Альбукерке;13.01.98 08:00;04.02.98 08:00;07.01.98 08:00;2;87110;10820;RATTC;3;Rattlesnake Canyon Grocery;NM;37,52;США
P.O. Box 555;Лендер;15.01.98 08:00;05.02.98 08:00;08.01.98 08:00;1;82520;10821;SPLIR;1;Split Rail Beer & Ale;WY;36,68;США
722 DaVinci Blvd.;Керкленд;16.01.98 08:00;05.02.98 08:00;08.01.98 08:00;3;98034;10822;TRAIH;6;Trail's Head Gourmet Provisioners;WA;7;США
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;13.01.98 08:00;06.02.98 08:00;09.01.98 08:00;2;3508;10823;LILAS;5;LILA-Supermercado;Lara;163,97;Венесуэлла
Lkergatan 24;Брекке;30.01.98 08:00;06.02.98 08:00;09.01.98 08:00;1;S-844 67;10824;FOLKO;8;Folk och fa HB;;1,23;Швеция
Walserweg 21;Ахен;14.01.98 08:00;06.02.98 08:00;09.01.98 08:00;1;52066;10825;DRACD;1;Drachenblut Delikatessen;;79,25;Германия
24, place Kleber;Страсбург;06.02.98 08:00;09.02.98 08:00;12.01.98 08:00;1;67000;10826;BLONP;6;Blondel pere et fils;;7,09;Франция
12, rue des Bouchers;Марсель;06.02.98 08:00;26.01.98 08:00;12.01.98 08:00;2;13008;10827;BONAP;1;Bon app';;63,54;Франция
Av. del Libertador 900;Буэнос-Айрес;04.02.98 08:00;27.01.98 08:00;13.01.98 08:00;1;1010;10828;RANCH;9;Rancho grande;;90,85;Аргентина
"Garden House
Crowther Way";Cowes;23.01.98 08:00;10.02.98 08:00;13.01.98 08:00;1;PO31 7PJ;10829;ISLAT;9;Island Trading;Isle of White;154,72;Великобритания
Av. Ines de Castro, 414;Сан-Пауло;21.01.98 08:00;24.02.98 08:00;13.01.98 08:00;2;05634-030;10830;TRADH;4;Tradicao Hipermercados;SP;81,83;Бразилия
Erling Skakkes gate 78;Ставерен;23.01.98 08:00;11.02.98 08:00;14.01.98 08:00;2;4110;10831;SANTG;3;Sante Gourmet;;72,19;Норвегия
1 rue Alsace-Lorraine;Тулуза;19.01.98 08:00;11.02.98 08:00;14.01.98 08:00;2;31000;10832;LAMAI;2;La maison d'Asie;;43,26;Франция
Mehrheimerstr. 369;Кельн;23.01.98 08:00;12.02.98 08:00;15.01.98 08:00;2;50739;10833;OTTIK;6;Ottilies Kaseladen;;71,49;Германия
Av. Ines de Castro, 414;Сан-Пауло;19.01.98 08:00;12.02.98 08:00;15.01.98 08:00;3;05634-030;10834;TRADH;1;Tradicao Hipermercados;SP;29,78;Бразилия
24, place Kleber;Страсбург;21.01.98 08:00;12.02.98 08:00;15.01.98 08:00;3;67000;10835;BLONP;1;Blondel pere et fils;;69,53;Франция
Kirchgasse 6;Грасс;21.01.98 08:00;13.02.98 08:00;16.01.98 08:00;1;8010;10836;ERNSH;7;Ernst Handel;;411,88;Австрия
Berguvsvagen  8;Лулео;23.01.98 08:00;13.02.98 08:00;16.01.98 08:00;3;S-958 22;10837;BERGS;9;Berglunds snabbkop;;13,32;Швеция
Ave. 5 de Mayo Porlamar;О-в Маргариты;23.01.98 08:00;16.02.98 08:00;19.01.98 08:00;3;4980;10838;LINOD;3;LINO-Delicateses;Nueva Esparta;59,28;Венесуэлла
Av. Ines de Castro, 414;Сан-Пауло;22.01.98 08:00;16.02.98 08:00;19.01.98 08:00;3;05634-030;10839;TRADH;3;Tradicao Hipermercados;SP;35,43;Бразилия
Ave. 5 de Mayo Porlamar;О-в Маргариты;16.02.98 08:00;02.03.98 08:00;19.01.98 08:00;2;4980;10840;LINOD;4;LINO-Delicateses;Nueva Esparta;2,71;Венесуэлла
Boulevard Tirou, 255;Шарлеруа;29.01.98 08:00;17.02.98 08:00;20.01.98 08:00;2;B-6000;10841;SUPRD;5;Supremes delices;;424,3;Бельгия
Avda. Azteca 123;Мехико;29.01.98 08:00;17.02.98 08:00;20.01.98 08:00;3;05033;10842;TORTU;1;Tortuga Restaurante;;54,42;Мексика
2, rue du Commerce;Лион;26.01.98 08:00;18.02.98 08:00;21.01.98 08:00;2;69004;10843;VICTE;4;Victuailles en stock;;9,26;Франция
Geislweg 14;Зальцбург;26.01.98 08:00;18.02.98 08:00;21.01.98 08:00;2;5020;10844;PICCO;8;Piccolo und mehr;;25,22;Австрия
Taucherstrasse 10;Кюневальд;30.01.98 08:00;04.02.98 08:00;21.01.98 08:00;1;01307;10845;QUICK;8;QUICK-Stop;;212,98;Германия
Boulevard Tirou, 255;Шарлеруа;23.01.98 08:00;05.03.98 08:00;22.01.98 08:00;3;B-6000;10846;SUPRD;2;Supremes delices;;56,46;Бельгия
187 Suffolk Ln.;Буа;10.02.98 08:00;05.02.98 08:00;22.01.98 08:00;3;83720;10847;SAVEA;4;Save-a-lot Markets;ID;487,57;США
"Berkeley Gardens
12  Brewery ";Лондон;29.01.98 08:00;20.02.98 08:00;23.01.98 08:00;2;WX1 6LT;10848;CONSH;7;Consolidated Holdings;;38,24;Великобритания
Maubelstr. 90;Бранденбург;30.01.98 08:00;20.02.98 08:00;23.01.98 08:00;2;14776;10849;KOENE;9;Koniglich Essen;;0,56;Германия
2, rue du Commerce;Лион;30.01.98 08:00;06.03.98 08:00;23.01.98 08:00;1;69004;10850;VICTE;1;Victuailles en stock;;49,19;Франция
Av. Copacabana, 267;Рио-де-Жанейро;02.02.98 08:00;23.02.98 08:00;26.01.98 08:00;1;02389-890;10851;RICAR;5;Ricardo Adocicados;RJ;160,55;Бразилия
2817 Milton Dr.;Альбукерке;30.01.98 08:00;09.02.98 08:00;26.01.98 08:00;1;87110;10852;RATTC;8;Rattlesnake Canyon Grocery;NM;174,05;США
Forsterstr. 57;Мангейм;03.02.98 08:00;24.02.98 08:00;27.01.98 08:00;2;68306;10853;BLAUS;9;Blauer See Delikatessen;;53,83;Германия
Kirchgasse 6;Грасс;05.02.98 08:00;24.02.98 08:00;27.01.98 08:00;2;8010;10854;ERNSH;3;Ernst Handel;;100,22;Австрия
2743 Bering St.;Анкоридж;04.02.98 08:00;24.02.98 08:00;27.01.98 08:00;1;99508;10855;OLDWO;3;Old World Delicatessen;AK;170,97;США
Mataderos  2312;Мехико;10.02.98 08:00;25.02.98 08:00;28.01.98 08:00;2;05023;10856;ANTON;3;Antonio Moreno Taqueria;;58,43;Мексика
Berguvsvagen  8;Лулео;06.02.98 08:00;25.02.98 08:00;28.01.98 08:00;2;S-958 22;10857;BERGS;8;Berglunds snabbkop;;188,85;Швеция
67, avenue de l'Europe;Версаль;03.02.98 08:00;26.02.98 08:00;29.01.98 08:00;1;78000;10858;LACOR;2;La corne d'abondance;;52,51;Франция
Berliner Platz 43;Мюнхен;02.02.98 08:00;26.02.98 08:00;29.01.98 08:00;2;80805;10859;FRANK;1;Frankenversand;;76,1;Германия
54, rue Royale;Нант;04.02.98 08:00;26.02.98 08:00;29.01.98 08:00;3;44000;10860;FRANR;3;France restauration;;19,26;Франция
1029 - 12th Ave. S.;Сиэтл;17.02.98 08:00;27.02.98 08:00;30.01.98 08:00;2;98124;10861;WHITC;4;White Clover Markets;WA;14,93;США
Magazinweg 7;Франкфурт;02.02.98 08:00;13.03.98 08:00;30.01.98 08:00;2;60528;10862;LEHMS;8;Lehmanns Marktstand;;53,23;Германия
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;17.02.98 08:00;02.03.98 08:00;02.02.98 08:00;2;5022;10863;HILAA;4;HILARION-Abastos;Tochira;30,26;Венесуэлла
"Brook Farm
Stratford St. Mary";Колчестер;09.02.98 08:00;02.03.98 08:00;02.02.98 08:00;2;CO7 6JX;10864;AROUT;4;Around the Horn;Essex;3,04;Великобритания
Taucherstrasse 10;Кюневальд;12.02.98 08:00;16.02.98 08:00;02.02.98 08:00;1;01307;10865;QUICK;2;QUICK-Stop;;348,14;Германия
Berguvsvagen  8;Лулео;12.02.98 08:00;03.03.98 08:00;03.02.98 08:00;1;S-958 22;10866;BERGS;5;Berglunds snabbkop;;109,11;Швеция
89 Chiaroscuro Rd.;Портленд;11.02.98 08:00;17.03.98 08:00;03.02.98 08:00;1;97219;10867;LONEP;6;Lonesome Pine Restaurant;OR;1,93;США
Alameda dos Canarios, 891;Сан-Пауло;23.02.98 08:00;04.03.98 08:00;04.02.98 08:00;2;05487-020;10868;QUEEN;7;Queen Cozinha;SP;191,27;Бразилия
90 Wadhurst Rd.;Лондон;09.02.98 08:00;04.03.98 08:00;04.02.98 08:00;1;OX15 4NB;10869;SEVES;5;Seven Seas Imports;;143,28;Великобритания
ul. Filtrowa 68;Варшава;13.02.98 08:00;04.03.98 08:00;04.02.98 08:00;3;01-012;10870;WOLZA;5;Wolski Zajazd;;12,04;Польша
12, rue des Bouchers;Марсель;10.02.98 08:00;05.03.98 08:00;05.02.98 08:00;2;13008;10871;BONAP;9;Bon app';;112,27;Франция
C/ Romero, 33;Севилья;09.02.98 08:00;05.03.98 08:00;05.02.98 08:00;2;41101;10872;GODOS;5;Godos Cocina Tipica;;175,32;Испания
Keskuskatu 45;Хельсинки;09.02.98 08:00;06.03.98 08:00;06.02.98 08:00;1;21240;10873;WILMK;4;Wilman Kala;;0,82;Финляндия
C/ Romero, 33;Севилья;11.02.98 08:00;06.03.98 08:00;06.02.98 08:00;2;41101;10874;GODOS;5;Godos Cocina Tipica;;19,58;Испания
Berguvsvagen  8;Лулео;03.03.98 08:00;06.03.98 08:00;06.02.98 08:00;2;S-958 22;10875;BERGS;4;Berglunds snabbkop;;32,37;Швеция
12, rue des Bouchers;Марсель;12.02.98 08:00;09.03.98 08:00;09.02.98 08:00;3;13008;10876;BONAP;7;Bon app';;60,42;Франция
Av. Copacabana, 267;Рио-де-Жанейро;19.02.98 08:00;09.03.98 08:00;09.02.98 08:00;1;02389-890;10877;RICAR;1;Ricardo Adocicados;RJ;38,06;Бразилия
Taucherstrasse 10;Кюневальд;12.02.98 08:00;10.03.98 08:00;10.02.98 08:00;1;01307;10878;QUICK;4;QUICK-Stop;;46,69;Германия
Keskuskatu 45;Хельсинки;12.02.98 08:00;10.03.98 08:00;10.02.98 08:00;3;21240;10879;WILMK;3;Wilman Kala;;8,5;Финляндия
Lkergatan 24;Брекке;18.02.98 08:00;24.03.98 08:00;10.02.98 08:00;1;S-844 67;10880;FOLKO;7;Folk och fa HB;;88,01;Швеция
Cerrito 333;Буэнос-Айрес;18.02.98 08:00;11.03.98 08:00;11.02.98 08:00;1;1010;10881;CACTU;4;Cactus Comidas para llevar;;2,84;Аргентина
187 Suffolk Ln.;Буа;20.02.98 08:00;11.03.98 08:00;11.02.98 08:00;3;83720;10882;SAVEA;4;Save-a-lot Markets;ID;23,1;США
89 Chiaroscuro Rd.;Портленд;20.02.98 08:00;12.03.98 08:00;12.02.98 08:00;3;97219;10883;LONEP;8;Lonesome Pine Restaurant;OR;0,53;США
"87 Polk St.
Suite 5";Сан-Франциско;13.02.98 08:00;12.03.98 08:00;12.02.98 08:00;2;94117;10884;LETSS;4;Let's Stop N Shop;CA;90,97;США
Boulevard Tirou, 255;Шарлеруа;18.02.98 08:00;12.03.98 08:00;12.02.98 08:00;3;B-6000;10885;SUPRD;6;Supremes delices;;5,64;Бельгия
Rua do Paco, 67;Рио-де-Жанейро;02.03.98 08:00;13.03.98 08:00;13.02.98 08:00;1;05454-876;10886;HANAR;1;Hanari Carnes;RJ;4,99;Бразилия
Rambla de Cataluna, 23;Барселона;16.02.98 08:00;13.03.98 08:00;13.02.98 08:00;3;8022;10887;GALED;8;Galeria del gastronomo;;1,25;Испания
C/ Romero, 33;Севилья;23.02.98 08:00;16.03.98 08:00;16.02.98 08:00;2;41101;10888;GODOS;1;Godos Cocina Tipica;;51,87;Испания
2817 Milton Dr.;Альбукерке;23.02.98 08:00;16.03.98 08:00;16.02.98 08:00;3;87110;10889;RATTC;9;Rattlesnake Canyon Grocery;NM;280,61;США
67, rue des Cinquante Otages;Нант;18.02.98 08:00;16.03.98 08:00;16.02.98 08:00;1;44000;10890;DUMON;7;Du monde entier;;32,76;Франция
Magazinweg 7;Франкфурт;19.02.98 08:00;17.03.98 08:00;17.02.98 08:00;2;60528;10891;LEHMS;7;Lehmanns Marktstand;;20,37;Германия
